experiment,validation_accuracy,test_accuracy,train_runtime_sec,samples_per_second,group_by_length
baseline_dynamic_padding,0.9104,0.9053543212592755,1164.9011,231.771,False
bucketing_group_by_length,0.912,0.9048542912574754,768.4681,351.335,True
